problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
taken with camera,Vincent van Gogh,vincentgogh,"The Blue Cart / Harvest at La Crau / Harvest in Provence, at the Left Montmajour","Arles, June 1888","graphite and black chalk, oil (pastel?), brown Indian ink, watercolor and gouache on paper",39.4 × 52.3 cm (15.5 × 20.6 in),"1888 paintings by Vincent van Gogh~Drawings by Vincent van Gogh~Harvest at La Crau, with Montmajour in the background~Landscape paintings by Vincent Van Gogh, Arles 1888~Van Gogh Watercolor Arles 1888-89",images/ vincentgogh_00000011.jpeg,http://upload.wikimedia.org/wikipedia/commons/2/2d/Van_Gogh_-_Ernte_in_der_Provence.jpeg,http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Ernte_in_der_Provence.jpeg
taken with camera,Vincent van Gogh,vincentgogh,"The Blue Cart / Harvest at La Crau / Harvest in Provence, at the Left Montmajour","Arles, June 1888","graphite and black chalk, oil (pastel?), brown Indian ink, watercolor and gouache on paper",39.4 × 52.3 cm (15.5 × 20.6 in),"1888 paintings by Vincent van Gogh~Drawings by Vincent van Gogh~Harvest at La Crau, with Montmajour in the background~Landscape paintings by Vincent Van Gogh, Arles 1888~Van Gogh Watercolor Arles 1888-89",images/ vincentgogh_00000012.jpeg,http://upload.wikimedia.org/wikipedia/commons/2/2d/Van_Gogh_-_Ernte_in_der_Provence.jpeg,http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Ernte_in_der_Provence.jpeg
,Vincent van Gogh,vincentgogh,Sorrow,circa 10 April 1882,"black chalk (n.b. New Art Gallery Walsall page incorrectly says ""pencil, ink"".).",44.5 × 27 cm (17.5 × 10.6 in),"Drawings by Vincent van Gogh~Garman Ryan version of Vincent van Gogh's ""Sorrow""~Garman Ryan Collection~Chalk drawings",images/ vincentgogh_00000013.jpg,http://upload.wikimedia.org/wikipedia/commons/5/5a/Vincent_van_Gogh_-_Sorrow.jpg,http://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Sorrow.jpg
,Vincent van Gogh,vincentgogh,Sorrow,circa 10 April 1882,"black chalk (n.b. New Art Gallery Walsall page incorrectly says ""pencil, ink"".).",44.5 × 27 cm (17.5 × 10.6 in),"Drawings by Vincent van Gogh~Garman Ryan version of Vincent van Gogh's ""Sorrow""~Garman Ryan Collection~Chalk drawings",images/ vincentgogh_00000014.jpg,http://upload.wikimedia.org/wikipedia/commons/5/5a/Vincent_van_Gogh_-_Sorrow.jpg,http://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Sorrow.jpg
,Joseph-Siffrein Duplessis,josephsiffreinduplessis,Portrait of Benjamin Franklin,1778,oil on canvas,28 × 22.5 in (71.1 × 57.2 cm),"Joseph Duplessis~18th-century portrait paintings in the National Portrait Gallery, London~Paintings of Benjamin Franklin~1770s oil on canvas paintings in the United Kingdom~1778 oil on canvas paintings~1778 portrait paintings~18th-century oil portraits of men at bust length~18th-century oil portraits of sitting men at half length~Grey clothing in art, male",images/ josephsiffreinduplessis_00000015.jpg,http://upload.wikimedia.org/wikipedia/commons/2/27/Benjamin_Franklin_by_Joseph_Siffrein_Duplessis.jpg,http://commons.wikimedia.org/wiki/File:Benjamin_Franklin_by_Joseph_Siffrein_Duplessis.jpg
,Joseph-Siffrein Duplessis,josephsiffreinduplessis,Portrait of Benjamin Franklin,1778,oil on canvas,28 × 22.5 in (71.1 × 57.2 cm),"Joseph Duplessis~18th-century portrait paintings in the National Portrait Gallery, London~Paintings of Benjamin Franklin~1770s oil on canvas paintings in the United Kingdom~1778 oil on canvas paintings~1778 portrait paintings~18th-century oil portraits of men at bust length~18th-century oil portraits of sitting men at half length~Grey clothing in art, male",images/ josephsiffreinduplessis_00000016.jpg,http://upload.wikimedia.org/wikipedia/commons/2/27/Benjamin_Franklin_by_Joseph_Siffrein_Duplessis.jpg,http://commons.wikimedia.org/wiki/File:Benjamin_Franklin_by_Joseph_Siffrein_Duplessis.jpg
,Arthur Bowen Davies,arthurdavies,Cherubian Children,circa 1900, English: Pastel applied both wet and dry over black watercolor with touches of crayon or colored pencil,30.5 × 23 cm (12 × 9.1 in),Arthur B. Davies~Watercolor paintings of children~Watercolor paintings in the Brooklyn Museum~Pastel drawings~Children in art,images/ arthurdavies_00000017.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b2/Brooklyn_Museum_-_Cherubian_Children_-_Arthur_B._Davies_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Cherubian_Children_-_Arthur_B._Davies_-_overall.jpg
,Arthur Bowen Davies,arthurdavies,Cherubian Children,circa 1900, English: Pastel applied both wet and dry over black watercolor with touches of crayon or colored pencil,30.5 × 23 cm (12 × 9.1 in),Arthur B. Davies~Watercolor paintings of children~Watercolor paintings in the Brooklyn Museum~Pastel drawings~Children in art,images/ arthurdavies_00000018.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b2/Brooklyn_Museum_-_Cherubian_Children_-_Arthur_B._Davies_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Cherubian_Children_-_Arthur_B._Davies_-_overall.jpg
,Winslow Homer,winslowhomer,The Gulf Stream,"probably 1899, dated by the artist ""1889""","Transparent watercolor, with touches of opaque watercolor and traces of blotting, over graphite, on moderately thick, moderately textured, ivory wove paper (lower edge trimmed)",28.8 × 50.9 cm (11.3 × 20 in),Watercolor paintings by Winslow Homer~Paintings by Winslow Homer in the Art Institute of Chicago~1890s paintings by Winslow Homer~Paintings of ships in distress~Sharks in art,images/ winslowhomer_00000019.jpg,http://upload.wikimedia.org/wikipedia/commons/8/83/Winslow_Homer_-_The_Gulf_Stream_%28watercolour%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_The_Gulf_Stream_(watercolour).jpg
,Winslow Homer,winslowhomer,The Gulf Stream,"probably 1899, dated by the artist ""1889""","Transparent watercolor, with touches of opaque watercolor and traces of blotting, over graphite, on moderately thick, moderately textured, ivory wove paper (lower edge trimmed)",28.8 × 50.9 cm (11.3 × 20 in),Watercolor paintings by Winslow Homer~Paintings by Winslow Homer in the Art Institute of Chicago~1890s paintings by Winslow Homer~Paintings of ships in distress~Sharks in art,images/ winslowhomer_00000020.jpg,http://upload.wikimedia.org/wikipedia/commons/8/83/Winslow_Homer_-_The_Gulf_Stream_%28watercolour%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_The_Gulf_Stream_(watercolour).jpg
