problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
,Winslow Homer,winslowhomer,Girl with Red Stockings,1882,watercolor over graphite pencil on paper,34.2 × 49.5 cm (13.5 × 19.5 in),"Watercolor paintings by Winslow Homer~1880s paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston",images/ winslowhomer_00000403.jpg,http://upload.wikimedia.org/wikipedia/commons/6/64/Winslow_Homer_-_Girl_with_Red_Stockings_%281882%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Girl_with_Red_Stockings_(1882).jpg
,Winslow Homer,winslowhomer,Girl with Red Stockings,1882,watercolor over graphite pencil on paper,34.2 × 49.5 cm (13.5 × 19.5 in),"Watercolor paintings by Winslow Homer~1880s paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston",images/ winslowhomer_00000404.jpg,http://upload.wikimedia.org/wikipedia/commons/6/64/Winslow_Homer_-_Girl_with_Red_Stockings_%281882%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Girl_with_Red_Stockings_(1882).jpg
,Winslow Homer,winslowhomer,Cloud Shadows,1890,oil on canvas,61 × 71.1 cm (24 × 28 in),Watercolor paintings by Winslow Homer~Spencer Museum of Art~1890s paintings by Winslow Homer~Watercolor paintings of people~Sitting people in art~People at the beach in art,images/ winslowhomer_00000405.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a4/Winslow_Homer_-_Cloud_Shadows.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Cloud_Shadows.jpg
,Winslow Homer,winslowhomer,Cloud Shadows,1890,oil on canvas,61 × 71.1 cm (24 × 28 in),Watercolor paintings by Winslow Homer~Spencer Museum of Art~1890s paintings by Winslow Homer~Watercolor paintings of people~Sitting people in art~People at the beach in art,images/ winslowhomer_00000406.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a4/Winslow_Homer_-_Cloud_Shadows.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Cloud_Shadows.jpg
,Jacob Jordaens,jacobjordaens,Martyrdom of St Quentin,circa 1650,watercolor and gouache,Height:  406 mm (15.98 in). Width:  293 mm (11.54 in).,Jacob Jordaens~Saint Quentin~17th-century paintings of Christian saints~Biblioteca Reale (Turin)~Watercolor paintings~Gouache paintings~1650 paintings,images/ jacobjordaens_00000407.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b4/Jordaens_Martyrdom_of_St_Quentin.jpg,http://commons.wikimedia.org/wiki/File:Jordaens_Martyrdom_of_St_Quentin.jpg
,Jacob Jordaens,jacobjordaens,Martyrdom of St Quentin,circa 1650,watercolor and gouache,Height:  406 mm (15.98 in). Width:  293 mm (11.54 in).,Jacob Jordaens~Saint Quentin~17th-century paintings of Christian saints~Biblioteca Reale (Turin)~Watercolor paintings~Gouache paintings~1650 paintings,images/ jacobjordaens_00000408.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b4/Jordaens_Martyrdom_of_St_Quentin.jpg,http://commons.wikimedia.org/wiki/File:Jordaens_Martyrdom_of_St_Quentin.jpg
,Albrecht Dürer,albrechtdurer,The Large Turf,1503,Watercolor and gouache on paper,Height:  41 cm (16.1 in). Width:  32 cm (12.6 in).,Watercolors by Albrecht Dürer~German drawings in the Albertina~1503 paintings~Gouache paintings~Paintings of plants~1500s paintings in Austria~16th-century watercolor paintings,images/ albrechtdurer_00000409.jpg,http://upload.wikimedia.org/wikipedia/commons/d/de/Albrecht_D%C3%BCrer_-_The_Large_Turf_-_WGA07363.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_The_Large_Turf_-_WGA07363.jpg
,Albrecht Dürer,albrechtdurer,The Large Turf,1503,Watercolor and gouache on paper,Height:  41 cm (16.1 in). Width:  32 cm (12.6 in).,Watercolors by Albrecht Dürer~German drawings in the Albertina~1503 paintings~Gouache paintings~Paintings of plants~1500s paintings in Austria~16th-century watercolor paintings,images/ albrechtdurer_00000410.jpg,http://upload.wikimedia.org/wikipedia/commons/d/de/Albrecht_D%C3%BCrer_-_The_Large_Turf_-_WGA07363.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_The_Large_Turf_-_WGA07363.jpg
,Thomas Girtin,thomasgirtin,Lincoln Cathedral,circa 1795,"""Watercolor with pen in black ink over graphite white gouache on mounted on, moerately thick, moderately textured, beige, laid paper""",Height:  237 mm (9.33 in). Width:  289 mm (11.38 in).,Lincoln in art~Lincoln Cathedral~Thomas Girtin~1790s watercolor paintings,images/ thomasgirtin_00000411.jpg,http://upload.wikimedia.org/wikipedia/commons/9/92/Thomas_Girtin_-_Lincoln_Cathedral_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Girtin_-_Lincoln_Cathedral_-_Google_Art_Project.jpg
,Thomas Girtin,thomasgirtin,Lincoln Cathedral,circa 1795,"""Watercolor with pen in black ink over graphite white gouache on mounted on, moerately thick, moderately textured, beige, laid paper""",Height:  237 mm (9.33 in). Width:  289 mm (11.38 in).,Lincoln in art~Lincoln Cathedral~Thomas Girtin~1790s watercolor paintings,images/ thomasgirtin_00000412.jpg,http://upload.wikimedia.org/wikipedia/commons/9/92/Thomas_Girtin_-_Lincoln_Cathedral_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Girtin_-_Lincoln_Cathedral_-_Google_Art_Project.jpg
,John Singer Sargent,johnsargent,Corfu: Cypresses,1909,watercolor over graphite pencil on paper,Height:  400 mm (15.75 in). Width:  521 mm (20.51 in).,"Watercolours by John Singer Sargent~Paintings in the Museum of Fine Arts, Boston",images/ johnsargent_00000413.jpg,http://upload.wikimedia.org/wikipedia/commons/8/85/John_Singer_Sargent_-_Corfu-_Cypresses_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:John_Singer_Sargent_-_Corfu-_Cypresses_-_Google_Art_Project.jpg
,John Singer Sargent,johnsargent,Corfu: Cypresses,1909,watercolor over graphite pencil on paper,Height:  400 mm (15.75 in). Width:  521 mm (20.51 in).,"Watercolours by John Singer Sargent~Paintings in the Museum of Fine Arts, Boston",images/ johnsargent_00000414.jpg,http://upload.wikimedia.org/wikipedia/commons/8/85/John_Singer_Sargent_-_Corfu-_Cypresses_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:John_Singer_Sargent_-_Corfu-_Cypresses_-_Google_Art_Project.jpg
,Leonaert Bramer,leonaertbramer,Scenes from the Life of Christ,1660s,watercolor and gouache,Height:  125 mm (4.92 in). Width:  110 mm (4.33 in).,Watercolor paintings by Leonaert Bramer~1660s paintings in private collections~17th-century paintings of Jesus Christ~Gouache paintings~1660s watercolor paintings~Paintings in unidentified private collections,images/ leonaertbramer_00000415.jpg,http://upload.wikimedia.org/wikipedia/commons/7/74/Leonaert_Bramer_-_Scenes_from_the_Life_of_Christ_-_WGA03105.jpg,http://commons.wikimedia.org/wiki/File:Leonaert_Bramer_-_Scenes_from_the_Life_of_Christ_-_WGA03105.jpg
,Leonaert Bramer,leonaertbramer,Scenes from the Life of Christ,1660s,watercolor and gouache,Height:  125 mm (4.92 in). Width:  110 mm (4.33 in).,Watercolor paintings by Leonaert Bramer~1660s paintings in private collections~17th-century paintings of Jesus Christ~Gouache paintings~1660s watercolor paintings~Paintings in unidentified private collections,images/ leonaertbramer_00000416.jpg,http://upload.wikimedia.org/wikipedia/commons/7/74/Leonaert_Bramer_-_Scenes_from_the_Life_of_Christ_-_WGA03105.jpg,http://commons.wikimedia.org/wiki/File:Leonaert_Bramer_-_Scenes_from_the_Life_of_Christ_-_WGA03105.jpg
,Winslow Homer,winslowhomer,The Blue Boat,1892,watercolor over pencil on paper,38.6 × 54.6 cm (15.2 × 21.5 in),"Watercolor paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston~1890s paintings by Winslow Homer~1892 watercolor paintings~Canoeing in art~Watercolor paintings of landscapes~Watercolor paintings of people",images/ winslowhomer_00000417.jpg,http://upload.wikimedia.org/wikipedia/commons/d/d2/The_Blue_Boat_1892_Winslow_Homer.jpg,http://commons.wikimedia.org/wiki/File:The_Blue_Boat_1892_Winslow_Homer.jpg
,Winslow Homer,winslowhomer,The Blue Boat,1892,watercolor over pencil on paper,38.6 × 54.6 cm (15.2 × 21.5 in),"Watercolor paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston~1890s paintings by Winslow Homer~1892 watercolor paintings~Canoeing in art~Watercolor paintings of landscapes~Watercolor paintings of people",images/ winslowhomer_00000418.jpg,http://upload.wikimedia.org/wikipedia/commons/d/d2/The_Blue_Boat_1892_Winslow_Homer.jpg,http://commons.wikimedia.org/wiki/File:The_Blue_Boat_1892_Winslow_Homer.jpg
,Vincent van Gogh,vincentgogh, English: Entrance Hall of Saint-Paul Hospital) Deutsch: Vestibül in der Heilanstalt,<1889-10-24,"Black chalk, brush and thinned oil on pink paper.",61.6 × 47.1 cm (24.3 × 18.5 in),Van Gogh Exhibition Vienna 2008~Van Gogh 1889-1890 Saint-Rémy~Paintings by Vincent van Gogh in the Van Gogh Museum~Interiors paintings by Vincent van Gogh~Works by Van Gogh of Saint-Paul-de-Mausole,images/ vincentgogh_00000419.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a2/Vincent_Van_Gogh_0012.jpg,http://commons.wikimedia.org/wiki/File:Vincent_Van_Gogh_0012.jpg
,Vincent van Gogh,vincentgogh, English: Entrance Hall of Saint-Paul Hospital) Deutsch: Vestibül in der Heilanstalt,<1889-10-24,"Black chalk, brush and thinned oil on pink paper.",61.6 × 47.1 cm (24.3 × 18.5 in),Van Gogh Exhibition Vienna 2008~Van Gogh 1889-1890 Saint-Rémy~Paintings by Vincent van Gogh in the Van Gogh Museum~Interiors paintings by Vincent van Gogh~Works by Van Gogh of Saint-Paul-de-Mausole,images/ vincentgogh_00000420.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a2/Vincent_Van_Gogh_0012.jpg,http://commons.wikimedia.org/wiki/File:Vincent_Van_Gogh_0012.jpg
,Richard Wilson,richardwilson, English: River Scene with Castle,circa 1751-1757,oil on canvas, (Oil painting) Height 24.5 in (estimate) (Oil painting) Width 19.25 in (estimate),Richard Wilson~Paintings in the Victoria and Albert Museum~1750s paintings in the United Kingdom~18th-century oil paintings~18th-century paintings in the United Kingdom~Oil paintings of landscapes~1750s landscape paintings,images/ richardwilson_00000421.jpg,http://upload.wikimedia.org/wikipedia/commons/c/cf/Richardwilson.jpg,http://commons.wikimedia.org/wiki/File:Richardwilson.jpg
,Richard Wilson,richardwilson, English: River Scene with Castle,circa 1751-1757,oil on canvas, (Oil painting) Height 24.5 in (estimate) (Oil painting) Width 19.25 in (estimate),Richard Wilson~Paintings in the Victoria and Albert Museum~1750s paintings in the United Kingdom~18th-century oil paintings~18th-century paintings in the United Kingdom~Oil paintings of landscapes~1750s landscape paintings,images/ richardwilson_00000422.jpg,http://upload.wikimedia.org/wikipedia/commons/c/cf/Richardwilson.jpg,http://commons.wikimedia.org/wiki/File:Richardwilson.jpg
,Piero di Cosimo,pierocosimo,Vulcan and Aeolus,circa 1495-1505,oil and tempera on canvas,155.5 × 166.5 cm (61.2 × 65.6 in),Animals in art~Paintings of horse riding by name~Forges in art~Paintings in the National Gallery of Canada~Renaissance paintings of mythology~Smiths in art~Stories of the Primitive Mankind~Woodworking in art~Men at work in art~Giraffes in art~Tempera on canvas~Vulcan and Aeolus by Piero di Cosimo,images/ pierocosimo_00000423.jpg,http://upload.wikimedia.org/wikipedia/commons/4/41/Piero_di_Cosimo_010.jpg,http://commons.wikimedia.org/wiki/File:Piero_di_Cosimo_010.jpg
,Piero di Cosimo,pierocosimo,Vulcan and Aeolus,circa 1495-1505,oil and tempera on canvas,155.5 × 166.5 cm (61.2 × 65.6 in),Animals in art~Paintings of horse riding by name~Forges in art~Paintings in the National Gallery of Canada~Renaissance paintings of mythology~Smiths in art~Stories of the Primitive Mankind~Woodworking in art~Men at work in art~Giraffes in art~Tempera on canvas~Vulcan and Aeolus by Piero di Cosimo,images/ pierocosimo_00000424.jpg,http://upload.wikimedia.org/wikipedia/commons/4/41/Piero_di_Cosimo_010.jpg,http://commons.wikimedia.org/wiki/File:Piero_di_Cosimo_010.jpg
,Thomas Rowlandson,thomasrowlandson,Dinner,1787,Etching with watercolour and aquatint,Height:  434 mm (17.09 in). Width:  570 mm (22.44 in).,Engravings by Thomas Rowlandson~Watercolor paintings in the Hermitage~18th-century etchings,images/ thomasrowlandson_00000425.jpg,http://upload.wikimedia.org/wikipedia/commons/c/c5/Thomas_Rowlandson_-_Dinner_-_WGA20169.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Rowlandson_-_Dinner_-_WGA20169.jpg
,Thomas Rowlandson,thomasrowlandson,Dinner,1787,Etching with watercolour and aquatint,Height:  434 mm (17.09 in). Width:  570 mm (22.44 in).,Engravings by Thomas Rowlandson~Watercolor paintings in the Hermitage~18th-century etchings,images/ thomasrowlandson_00000426.jpg,http://upload.wikimedia.org/wikipedia/commons/c/c5/Thomas_Rowlandson_-_Dinner_-_WGA20169.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Rowlandson_-_Dinner_-_WGA20169.jpg
,Gillis van Coninxloo,gillisconinxloo,Landscape with Scenes from the Life of the Virgin,16th century – 17th century,oil on canvas,107 × 89.7 cm (42.1 × 35.3 in),Gillis van Coninxloo~Oil paintings of landscapes~16th-century paintings of Virgin Mary~Paintings of people in nature~16th-century oil on canvas paintings~Kadriorg palace~Paintings in Estonia,images/ gillisconinxloo_00000427.jpg,http://upload.wikimedia.org/wikipedia/commons/7/78/Van_coninxloo_oil_on_canvas.jpg,http://commons.wikimedia.org/wiki/File:Van_coninxloo_oil_on_canvas.jpg
,Gillis van Coninxloo,gillisconinxloo,Landscape with Scenes from the Life of the Virgin,16th century – 17th century,oil on canvas,107 × 89.7 cm (42.1 × 35.3 in),Gillis van Coninxloo~Oil paintings of landscapes~16th-century paintings of Virgin Mary~Paintings of people in nature~16th-century oil on canvas paintings~Kadriorg palace~Paintings in Estonia,images/ gillisconinxloo_00000428.jpg,http://upload.wikimedia.org/wikipedia/commons/7/78/Van_coninxloo_oil_on_canvas.jpg,http://commons.wikimedia.org/wiki/File:Van_coninxloo_oil_on_canvas.jpg
,Édouard Manet,edouardmanet, Français : L'Espagnole,1879, English: Pastel on canvas, English: 56 x 46 cm,Pastel portraits by Édouard Manet~Paintings in Kunsthaus Zürich~19th-century pastel portraits of women,images/ edouardmanet_00000429.jpg,http://upload.wikimedia.org/wikipedia/commons/4/44/%C3%89douard_Manet_-_L%27Espagnole.jpg,http://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_L%27Espagnole.jpg
,Édouard Manet,edouardmanet, Français : L'Espagnole,1879, English: Pastel on canvas, English: 56 x 46 cm,Pastel portraits by Édouard Manet~Paintings in Kunsthaus Zürich~19th-century pastel portraits of women,images/ edouardmanet_00000430.jpg,http://upload.wikimedia.org/wikipedia/commons/4/44/%C3%89douard_Manet_-_L%27Espagnole.jpg,http://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_L%27Espagnole.jpg
,Ludwik de Laveaux,ludwiklaveaux," Polski: „Marysia (portret Marii Mikołajczykówny, narzeczonej malarza)” English: Marysia (Marii Mikołajczykówny portrait, painter's fiancee)",1892–1893,watercolor and gouache on paper,13 × 10 cm (5.1 × 3.9 in),Ludwik de Laveaux~1893 paintings~19th-century gouache portraits of women~19th-century portraits of women at bust length~19th-century watercolor portraits of women~Portrait paintings of women of Poland~Three-quarter view portrait paintings of women~Bronowice,images/ ludwiklaveaux_00000431.jpg,http://upload.wikimedia.org/wikipedia/commons/3/31/LudwikDeLaveaux.Marysia.1892.ws.jpg,http://commons.wikimedia.org/wiki/File:LudwikDeLaveaux.Marysia.1892.ws.jpg
,Ludwik de Laveaux,ludwiklaveaux," Polski: „Marysia (portret Marii Mikołajczykówny, narzeczonej malarza)” English: Marysia (Marii Mikołajczykówny portrait, painter's fiancee)",1892–1893,watercolor and gouache on paper,13 × 10 cm (5.1 × 3.9 in),Ludwik de Laveaux~1893 paintings~19th-century gouache portraits of women~19th-century portraits of women at bust length~19th-century watercolor portraits of women~Portrait paintings of women of Poland~Three-quarter view portrait paintings of women~Bronowice,images/ ludwiklaveaux_00000432.jpg,http://upload.wikimedia.org/wikipedia/commons/3/31/LudwikDeLaveaux.Marysia.1892.ws.jpg,http://commons.wikimedia.org/wiki/File:LudwikDeLaveaux.Marysia.1892.ws.jpg
,Giuseppe Tominz,giuseppetominz,Portrait of Giancristoforo Ritter de Zahony,1829,oil on canvas,78.6 × 63.2 cm (30.9 × 24.9 in),"Male portrait paintings by Giuseppe Tominz~1829 portrait paintings~1829 paintings in Italy~1829 oil on canvas paintings~19th-century oil portraits of men at half length~19th-century portrait paintings in Italy~Fondazione Coronini Cronberg, Gorizia",images/ giuseppetominz_00000433.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a1/Jo%C5%BEef_Tominc_-_Giancristoforo_Ritter_de_Zahony.jpg,http://commons.wikimedia.org/wiki/File:Jo%C5%BEef_Tominc_-_Giancristoforo_Ritter_de_Zahony.jpg
,Giuseppe Tominz,giuseppetominz,Portrait of Giancristoforo Ritter de Zahony,1829,oil on canvas,78.6 × 63.2 cm (30.9 × 24.9 in),"Male portrait paintings by Giuseppe Tominz~1829 portrait paintings~1829 paintings in Italy~1829 oil on canvas paintings~19th-century oil portraits of men at half length~19th-century portrait paintings in Italy~Fondazione Coronini Cronberg, Gorizia",images/ giuseppetominz_00000434.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a1/Jo%C5%BEef_Tominc_-_Giancristoforo_Ritter_de_Zahony.jpg,http://commons.wikimedia.org/wiki/File:Jo%C5%BEef_Tominc_-_Giancristoforo_Ritter_de_Zahony.jpg
,Ramon Casas i Carbó,ramoncarbó,Celebrations in Toulon,1900,"Watercolour, gouache, graphite pencil and brushwork ink on paper",Height:  154 mm (6.06 in). Width:  114 mm (4.49 in).,Modern Art paintings in the MNAC~Ramon Casas,images/ ramoncarbó_00000435.jpg,http://upload.wikimedia.org/wikipedia/commons/e/e1/Ramon_Casas_-_Celebrations_in_Toulon_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Ramon_Casas_-_Celebrations_in_Toulon_-_Google_Art_Project.jpg
,Ramon Casas i Carbó,ramoncarbó,Celebrations in Toulon,1900,"Watercolour, gouache, graphite pencil and brushwork ink on paper",Height:  154 mm (6.06 in). Width:  114 mm (4.49 in).,Modern Art paintings in the MNAC~Ramon Casas,images/ ramoncarbó_00000436.jpg,http://upload.wikimedia.org/wikipedia/commons/e/e1/Ramon_Casas_-_Celebrations_in_Toulon_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Ramon_Casas_-_Celebrations_in_Toulon_-_Google_Art_Project.jpg
,Ernst Ludwig Kirchner,ernstkirchner, Deutsch: Im Treibhaus,circa 1916,"pencil, charcoal and watercolor",55.5 × 3.8 cm (21.9 × 1.5 in),Drawings by Ernst Ludwig Kirchner~Watercolor paintings~Greenhouses in art~Austrian drawings in the Albertina,images/ ernstkirchner_00000437.jpeg,http://upload.wikimedia.org/wikipedia/commons/4/46/Ernst_Ludwig_Kirchner_-_Im_Treibhaus.jpeg,http://commons.wikimedia.org/wiki/File:Ernst_Ludwig_Kirchner_-_Im_Treibhaus.jpeg
,Ernst Ludwig Kirchner,ernstkirchner, Deutsch: Im Treibhaus,circa 1916,"pencil, charcoal and watercolor",55.5 × 3.8 cm (21.9 × 1.5 in),Drawings by Ernst Ludwig Kirchner~Watercolor paintings~Greenhouses in art~Austrian drawings in the Albertina,images/ ernstkirchner_00000438.jpeg,http://upload.wikimedia.org/wikipedia/commons/4/46/Ernst_Ludwig_Kirchner_-_Im_Treibhaus.jpeg,http://commons.wikimedia.org/wiki/File:Ernst_Ludwig_Kirchner_-_Im_Treibhaus.jpeg
,Paul Gauguin,paulgauguin,Contes barbares,1902,oil on canvas,131.5 × 90.5 cm (51.8 × 35.6 in),1900s paintings by Paul Gauguin~Paintings in the Museum Folkwang~Polynesia by Paul Gauguin~Post-Impressionist paintings~1902 paintings~Female toplessness in paintings~Female toplessness in the Pacific~Paintings by Paul Gauguin in Germany,images/ paulgauguin_00000439.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b8/Paul_Gauguin_-_Contes_barbares_-_Folkwang_G54.jpg,http://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Contes_barbares_-_Folkwang_G54.jpg
,Paul Gauguin,paulgauguin,Contes barbares,1902,oil on canvas,131.5 × 90.5 cm (51.8 × 35.6 in),1900s paintings by Paul Gauguin~Paintings in the Museum Folkwang~Polynesia by Paul Gauguin~Post-Impressionist paintings~1902 paintings~Female toplessness in paintings~Female toplessness in the Pacific~Paintings by Paul Gauguin in Germany,images/ paulgauguin_00000440.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b8/Paul_Gauguin_-_Contes_barbares_-_Folkwang_G54.jpg,http://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Contes_barbares_-_Folkwang_G54.jpg
,Albrecht Dürer,albrechtdurer,House by a Pond,circa 1496/97,watercolor and gouache on paper,21 × 23 cm (8.3 × 9.1 in),Watercolors by Albrecht Dürer~Weiherhaus~15th-century watercolor paintings~Gouache paintings~Paintings of lakes~1490s paintings in the United Kingdom~15th-century landscape paintings,images/ albrechtdurer_00000441.jpg,http://upload.wikimedia.org/wikipedia/commons/6/63/Albrecht_D%C3%BCrer_-_Weiherhaus_%281497%29.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Weiherhaus_(1497).jpg
,Albrecht Dürer,albrechtdurer,House by a Pond,circa 1496/97,watercolor and gouache on paper,21 × 23 cm (8.3 × 9.1 in),Watercolors by Albrecht Dürer~Weiherhaus~15th-century watercolor paintings~Gouache paintings~Paintings of lakes~1490s paintings in the United Kingdom~15th-century landscape paintings,images/ albrechtdurer_00000442.jpg,http://upload.wikimedia.org/wikipedia/commons/6/63/Albrecht_D%C3%BCrer_-_Weiherhaus_%281497%29.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Weiherhaus_(1497).jpg
,William Trost Richards,williamrichards,Sketchbook of English Coastal Scenery,circa 1879,"Graphite on paper, some pages with added white chalk or watercolor on blue wove paper",15.6 × 19.5 cm (6.1 × 7.7 in),William Trost Richards~Watercolor paintings of landscapes~Drawings by William Trost Richards~Sketchbooks,images/ williamrichards_00000443.jpg,http://upload.wikimedia.org/wikipedia/commons/0/06/Brooklyn_Museum_-_Sketchbook_of_English_Coastal_Scenery_-_William_Trost_Richards_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Sketchbook_of_English_Coastal_Scenery_-_William_Trost_Richards_-_overall.jpg
,William Trost Richards,williamrichards,Sketchbook of English Coastal Scenery,circa 1879,"Graphite on paper, some pages with added white chalk or watercolor on blue wove paper",15.6 × 19.5 cm (6.1 × 7.7 in),William Trost Richards~Watercolor paintings of landscapes~Drawings by William Trost Richards~Sketchbooks,images/ williamrichards_00000444.jpg,http://upload.wikimedia.org/wikipedia/commons/0/06/Brooklyn_Museum_-_Sketchbook_of_English_Coastal_Scenery_-_William_Trost_Richards_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Sketchbook_of_English_Coastal_Scenery_-_William_Trost_Richards_-_overall.jpg
,Wojciech Gerson,wojciechgerson, English: Meeting on a way from Trakai to Vilnius. Polski: Spotkanie na drodze z Trok do Wilna.,19th century,"pencil, watercolor and gouache on paper",21.5 × 27.3 cm (8.5 × 10.7 in),Watercolor paintings by Wojciech Gerson in the National Museum in Warsaw~Wanderers in art,images/ wojciechgerson_00000445.jpg,http://upload.wikimedia.org/wikipedia/commons/9/97/Wojciech_Gerson-Spotkanie_na_drodze.jpg,http://commons.wikimedia.org/wiki/File:Wojciech_Gerson-Spotkanie_na_drodze.jpg
,Wojciech Gerson,wojciechgerson, English: Meeting on a way from Trakai to Vilnius. Polski: Spotkanie na drodze z Trok do Wilna.,19th century,"pencil, watercolor and gouache on paper",21.5 × 27.3 cm (8.5 × 10.7 in),Watercolor paintings by Wojciech Gerson in the National Museum in Warsaw~Wanderers in art,images/ wojciechgerson_00000446.jpg,http://upload.wikimedia.org/wikipedia/commons/9/97/Wojciech_Gerson-Spotkanie_na_drodze.jpg,http://commons.wikimedia.org/wiki/File:Wojciech_Gerson-Spotkanie_na_drodze.jpg
,François Boucher,françoisboucher, English: Young Woman Sleeping,circa 1760, English: Black and red chalk and pastel on brown paper,25.9 × 42.5 cm (10.2 × 16.7 in),18th-century drawings~Drawings by François Boucher~Drawings of nude recumbent women~Portraits of women holding flowers~Maenads~Works by Boucher in the Hermitage~Sleeping women in art~Chalk drawings~Nude or partially nude people with brown background,images/ françoisboucher_00000447.jpg,http://upload.wikimedia.org/wikipedia/commons/4/45/Boucher_jeune_femme.jpg,http://commons.wikimedia.org/wiki/File:Boucher_jeune_femme.jpg
,François Boucher,françoisboucher, English: Young Woman Sleeping,circa 1760, English: Black and red chalk and pastel on brown paper,25.9 × 42.5 cm (10.2 × 16.7 in),18th-century drawings~Drawings by François Boucher~Drawings of nude recumbent women~Portraits of women holding flowers~Maenads~Works by Boucher in the Hermitage~Sleeping women in art~Chalk drawings~Nude or partially nude people with brown background,images/ françoisboucher_00000448.jpg,http://upload.wikimedia.org/wikipedia/commons/4/45/Boucher_jeune_femme.jpg,http://commons.wikimedia.org/wiki/File:Boucher_jeune_femme.jpg
,Ștefan Luchian,ștefanluchian,Portrait of a Woman,1900-1901,watercolor and gouache on paper,31.5 × 24.8 cm (12.4 × 9.8 in),Portraits by Ştefan Luchian~20th-century gouache portraits of women~20th-century portrait paintings of women at bust length~20th-century profile portrait paintings of women~20th-century watercolor portraits of women~Female headgear in art~20th-century portrait paintings of unidentified women~1900s portrait paintings,images/ ștefanluchian_00000449.jpg,http://upload.wikimedia.org/wikipedia/commons/3/32/Stefan_Luchian_portrait_of_a_woman.jpg,http://commons.wikimedia.org/wiki/File:Stefan_Luchian_portrait_of_a_woman.jpg
,Ștefan Luchian,ștefanluchian,Portrait of a Woman,1900-1901,watercolor and gouache on paper,31.5 × 24.8 cm (12.4 × 9.8 in),Portraits by Ştefan Luchian~20th-century gouache portraits of women~20th-century portrait paintings of women at bust length~20th-century profile portrait paintings of women~20th-century watercolor portraits of women~Female headgear in art~20th-century portrait paintings of unidentified women~1900s portrait paintings,images/ ștefanluchian_00000450.jpg,http://upload.wikimedia.org/wikipedia/commons/3/32/Stefan_Luchian_portrait_of_a_woman.jpg,http://commons.wikimedia.org/wiki/File:Stefan_Luchian_portrait_of_a_woman.jpg
,Antoine-Louis Barye,antoinelouisbarye,Two Jaguars from Peru,1833,Watercolour with gouache and India ink heightening,Height:  242 mm (9.53 in). Width:  314 mm (12.36 in).,Drawings and paintings by Antoine-Louis Barye~French paintings in the Louvre - not on display~Watercolor paintings of jaguars~19th-century paintings of jaguars~1830s paintings from France~1833 paintings,images/ antoinelouisbarye_00000451.jpg,http://upload.wikimedia.org/wikipedia/commons/c/c2/Antoine-Louis_Barye_-_Two_Jaguars_from_Peru_-_WGA01389.jpg,http://commons.wikimedia.org/wiki/File:Antoine-Louis_Barye_-_Two_Jaguars_from_Peru_-_WGA01389.jpg
